,FECHA,festivo
0,2007-01-01,1
1,2007-02-05,1
2,2007-03-19,1
3,2007-03-21,1
4,2007-05-01,1
5,2007-09-16,1
6,2007-09-17,1
7,2007-11-19,1
8,2007-11-20,1
9,2007-12-25,1
10,2008-01-01,1
11,2008-02-04,1
12,2008-02-05,1
13,2008-03-17,1
14,2008-03-21,1
15,2008-05-01,1
16,2008-09-16,1
17,2008-11-17,1
18,2008-11-20,1
19,2008-12-25,1
20,2009-01-01,1
21,2009-02-02,1
22,2009-02-05,1
23,2009-03-16,1
24,2009-03-21,1
25,2009-05-01,1
26,2009-09-16,1
27,2009-11-16,1
28,2009-11-20,1
29,2009-12-25,1
30,2010-01-01,1
31,2010-12-31,1
32,2010-02-01,1
33,2010-02-05,1
34,2010-03-15,1
35,2010-03-21,1
36,2010-05-01,1
37,2010-04-30,1
38,2010-09-16,1
39,2010-11-15,1
40,2010-11-20,1
41,2010-12-25,1
42,2010-12-24,1
43,2011-01-01,1
44,2011-02-07,1
45,2011-02-05,1
46,2011-03-21,1
47,2011-05-01,1
48,2011-05-02,1
49,2011-09-16,1
50,2011-11-21,1
51,2011-11-20,1
52,2011-12-25,1
53,2011-12-26,1
54,2012-01-01,1
55,2012-01-02,1
56,2012-02-06,1
57,2012-02-05,1
58,2012-03-19,1
59,2012-03-21,1
60,2012-05-01,1
61,2012-09-16,1
62,2012-09-17,1
63,2012-11-19,1
64,2012-11-20,1
65,2012-12-01,1
66,2012-11-30,1
67,2012-12-25,1
68,2013-01-01,1
69,2013-02-04,1
70,2013-02-05,1
71,2013-03-18,1
72,2013-03-21,1
73,2013-05-01,1
74,2013-09-16,1
75,2013-11-18,1
76,2013-11-20,1
77,2013-12-25,1
78,2014-01-01,1
79,2014-02-03,1
80,2014-02-05,1
81,2014-03-17,1
82,2014-03-21,1
83,2014-05-01,1
84,2014-09-16,1
85,2014-11-17,1
86,2014-11-20,1
87,2014-12-25,1
88,2015-01-01,1
89,2015-02-02,1
90,2015-02-05,1
91,2015-03-16,1
92,2015-03-21,1
93,2015-05-01,1
94,2015-09-16,1
95,2015-11-16,1
96,2015-11-20,1
97,2015-12-25,1
98,2016-01-01,1
99,2016-02-01,1
100,2016-02-05,1
101,2016-03-21,1
102,2016-05-01,1
103,2016-05-02,1
104,2016-09-16,1
105,2016-11-21,1
106,2016-11-20,1
107,2016-12-25,1
108,2016-12-26,1
109,2017-01-01,1
110,2017-01-02,1
111,2017-02-06,1
112,2017-02-05,1
113,2017-03-20,1
114,2017-03-21,1
115,2017-05-01,1
116,2017-09-16,1
117,2017-09-15,1
118,2017-11-20,1
119,2017-12-25,1
120,2018-01-01,1
121,2018-02-05,1
122,2018-03-19,1
123,2018-03-21,1
124,2018-05-01,1
125,2018-09-16,1
126,2018-09-17,1
127,2018-11-19,1
128,2018-11-20,1
129,2018-12-01,1
130,2018-11-30,1
131,2018-12-25,1
132,2019-01-01,1
133,2019-02-04,1
134,2019-02-05,1
135,2019-03-18,1
136,2019-03-21,1
137,2019-05-01,1
138,2019-09-16,1
139,2019-11-18,1
140,2019-11-20,1
141,2019-12-25,1
142,2020-01-01,1
143,2020-02-03,1
144,2020-02-05,1
145,2020-03-16,1
146,2020-03-21,1
147,2020-05-01,1
148,2020-09-16,1
149,2020-11-16,1
150,2020-11-20,1
151,2020-12-25,1
152,2021-01-01,1
153,2021-12-31,1
154,2021-02-01,1
155,2021-02-05,1
156,2021-03-15,1
157,2021-03-21,1
158,2021-05-01,1
159,2021-04-30,1
160,2021-09-16,1
161,2021-11-15,1
162,2021-11-20,1
163,2021-12-25,1
164,2021-12-24,1
165,2022-01-01,1
166,2022-02-07,1
167,2022-02-05,1
168,2022-03-21,1
169,2022-05-01,1
170,2022-05-02,1
171,2022-09-16,1
172,2022-11-21,1
173,2022-11-20,1
174,2022-12-25,1
175,2022-12-26,1
